CLIENT_ID;RENTA;USO_SMS;DEUDA_ANT;MIN_CALLCENTER;ANTIGUEDAD;USO_MB;DEUDA_ACT;USO_APP;MIN_ENT_3M;MIN_SAL_3M;CHURN
0;49.04782857;49.68919626;50.25970635;48.38479713;51;49.03475812;48.8337635;;50.20512685;50.6935958;0
1;49.88448482;49.12642245;49.96879426;51.13265472;52;47.90156563;48.86455528;;48.6869657;49.07432869;1
2;49.67415907;49.00816649;48.9943508;47.20682098;48;50.56110003;52.41136561;;49.44175061;49.95072147;2
3;50.97149673;;50.0740963;47.98093088;49;49.27971131;;;49.96670831;51.94308198;0
4;52.31341436;50.96269503;49.61987444;46.89278457;49;51.43019245;;;52.3339525;47.78084257;0
5;48.33744521;50.97363439;49.68732818;47.71602718;50;48.79637174;;;50.51978825;51.21803619;2
6;52.13279385;50.04915086;50.08863328;48.66797897;49;48.91062089;;;50.23823121;51.55707906;1
7;50.26676741;49.79804598;50.70516849;50.72730089;49;47.11383573;;;52.1954867;50.92082943;2
8;51.894376;51.17004729;50.96109053;50.38849243;48;48.80894948;;;49.01935614;54.20647153;0
9;50.25035124;50.30689724;49.53068398;47.55486199;48;52.07285109;50.28170468;;47.86186958;52.40168496;2
10;50.37056069;49.71189441;51.07427256;50.53061675;51;49.07096473;50.03838634;;48.47947707;49.50261916;1
11;50.01605277;49.70744722;50.79704926;50.77076018;50;53.40807759;49.634421;;49.44959648;50.55691113;0
12;50.72151124;48.32478835;50.64290584;49.04951272;47;52.11609045;50.98479342;;49.29385716;51.02497561;2
13;48.40925472;48.61023946;49.33229842;;53;48.23167639;49.40671075;;49.88292339;48.65274008;1
14;50.03254545;51.51628808;50.20393809;;53;48.04880095;49.69092496;;48.87115137;49.00948673;1
15;47.69643571;50.01096565;51.22486698;;54;51.76297948;51.12968528;;46.98676666;47.40709092;1
16;51.41529547;51.21907206;50.61299556;;50;50.81192256;49.45204649;;48.32830764;49.67505431;1
17;46.97395648;51.137248;51.42655496;;56;52.13345811;48.67277684;;46.6218209;46.18119748;1
18;48.78475264;49.53752849;51.31194205;;50;51.63578297;48.41205145;;48.38398578;50.90324893;2
19;47.98842319;49.26494429;49.62834044;52.94062074;53;48.16754083;48.57796667;;49.6736463;48.3722814;1
20;48.4056501;50.61411358;50.1465534;49.10818361;51;52.10350774;49.61648156;;46.69875956;52.24437376;0
21;48.49981662;48.57215669;50.84757214;53.44462598;51;48.10920412;51.3717026;;50.14923455;49.22633566;1
22;51.3687408;49.57009659;48.04584229;46.41581228;45;50.72282834;49.53295328;;50.18338043;52.70795391;2
23;50.02284374;49.14822551;49.29803584;50.58414976;49;46.98038755;48.91458233;;51.87246484;52.01192888;0
24;49.45562006;50.45227903;50.22755592;48.70171181;49;46.30950522;50.85929048;;50.80273913;52.87228928;1
25;49.22030546;48.9246164;50.47156107;49.8693343;50;48.12806949;49.61008369;;50.83040942;51.18364322;0
26;50.83551218;50.61610854;50.01021974;48.77365543;50;50.79856488;51.14053891;;48.31384943;51.56833297;0
27;50.85003504;51.16553461;49.34678856;51.6629065;50;48.89770438;50.11311902;;50.21392739;50.40373115;1
28;49.34796824;49.1837157;50.7124459;49.55375833;48;50.87501394;50.66035544;;50.95147823;49.91508009;2
29;48.35909993;50.05978353;49.04694122;53.35747887;53;46.85265858;50.15374848;;49.57912739;50.90327378;0
30;47.10809576;48.25682092;47.37545089;51.46085432;54;49.73159971;49.61958182;;49.67065398;47.5442285;1
31;48.8161036;50.45366146;50.68903056;48.68677729;50;51.7576412;48.63474557;;47.35831719;50.64207997;2
32;49.0349971;50.17910501;49.42532547;52.76874348;55;48.72749198;50.6980054;;48.81950885;47.59304317;1
33;48.27190827;50.92632985;50.26106366;50.16612626;50;48.65003828;48.61226878;;51.81288116;50.02869089;2
34;51.47389438;51.46791955;49.42263627;49.3626059;51;50.18943766;50.84776747;;48.60338932;49.71452814;0
35;50.29202878;52.18628421;50.73239772;50.05948273;50;48.45719581;49.59131074;;49.08777394;50.012702;1
36;49.41747866;50.17764814;48.94346051;49.14156627;48;51.6284876;50.27041338;;48.40153005;53.17235383;2
37;50.83324625;50.93552694;50.55839691;49.82779019;51;50.55578091;49.27383391;;48.36950879;48.76131677;1
38;50.12750199;51.09787541;49.42131641;48.80818124;48;52.28289912;50.64330725;;47.2201431;52.75564945;2
39;49.56935807;51.65085838;50.2655551;52.48972844;51;48.37025602;50.94277513;;50.57509125;50.63805431;0
40;47.96435346;51.45441542;48.46780291;49.90314416;51;45.99321303;50.23239631;;50.69588588;52.66646054;2
41;49.10278674;50.97834868;50.84293863;47.98272006;49;48.98753938;50.52566854;;51.6008453;49.83780773;2
42;47.7912051;49.89995409;50.92434406;51.71476596;53;49.48056564;48.65230495;;48.84226747;48.19583217;1
43;46.90627642;50.11330479;50.18597937;51.29826365;52;51.92437549;49.89363463;;48.36446708;50.43816353;2
44;54.44539415;49.42104722;51.27632662;48.85548363;52;48.77250663;50.58311985;;48.65039535;49.29995734;0
45;51.39128859;48.94777008;50.01422394;48.07809333;50;48.88138309;51.27253065;;50.05282732;50.57483344;1
46;48.87812453;49.34565918;49.5961419;48.59997044;50;50.88622999;50.0331694;;48.52345465;51.16454244;2
47;50.482956;50.89947488;50.08662367;48.65434579;47;47.93833918;49.20863789;;51.7245373;51.11033038;0
48;46.3705419;49.98156236;49.50926357;52.16934302;50;52.09322535;50.80703962;;51.49852284;48.82188842;2
49;50.88073257;52.61472983;48.72402605;48.47190027;49;45.74788824;52.37788848;;51.48899997;52.21383914;2
50;50.92027589;50.78847944;50.56748597;45.49235237;48;49.90906755;47.60652396;;52.54450407;48.70762286;0
51;52.70187318;49.48044635;50.04207004;50.48300041;51;49.82466431;50.57861539;;48.12989346;49.56918029;1
52;49.92145864;51.19416036;50.07991018;50.26979296;;47.60045512;48.22242875;;51.51048622;51.49460907;0
53;50.87806506;51.73288865;50.34772361;48.6296699;;47.98258227;49.27689779;;52.93898156;50.24632431;0
54;53.63759391;51.46427104;50.76452704;46.73761778;;48.25942366;51.48198659;;47.82792294;48.29771179;0
55;49.25253973;48.49683735;50.74985865;47.65023879;;47.93686333;49.40743234;;50.08912043;52.64077696;2
56;51.55779214;49.9656124;51.84733025;47.49756395;49;48.83005364;50.46593033;;51.30923313;50.82736313;1
57;47.0988074;50.43745263;49.91944739;51.65511517;53;52.15432011;48.74330153;;46.26703611;50.60770654;2
58;52.84630781;49.88481222;49.07932972;46.45766308;51;47.97166681;52.41032839;;48.49928667;51.41617051;1
59;48.54792226;50.17333845;50.66320839;48.03428949;50;50.1888217;50.26792989;;47.9478369;52.04057599;2
60;50.41544137;49.28745956;47.96368024;50.53569022;51;48.0398784;49.27085702;;48.30921661;51.91001485;1
61;49.40521668;50.9069876;51.77587311;50.13866509;49;49.38568974;50.54940624;;51.53884446;49.95913784;2
62;49.36861978;49.21441559;47.92305866;49.61078994;50;48.42030004;49.07223943;;50.0334755;52.68767316;2
63;48.28341512;49.87901702;48.16403752;46.63065333;50;47.929236;48.83421773;;52.2786664;48.55526383;0
64;51.01217886;48.54890391;50.49963908;50.24546366;51;49.10753337;49.59881276;;48.37388775;50.19102517;1
65;48.60454124;49.28476326;50.58698749;49.97153045;50;48.99144017;48.40456733;;50.42341467;49.54012059;1
66;49.63682281;50.78083917;49.99756129;47.08137678;49;49.0401854;51.09812321;;50.75020213;50.9802678;2
67;49.58901845;51.03051859;51.14827583;46.92034707;50;47.56377432;51.24183988;;48.71428757;53.58381894;1
68;51.038349;48.59621599;48.9722462;51.04759511;47;50.48688829;51.12864346;;49.30523852;53.96550544;0
69;48.12251238;48.52692102;50.00064846;50.68266594;53;51.36024183;50.60667523;;47.44094347;47.84183187;1
70;53.34778537;50.39022747;50.333654;47.41741797;47;50.98314521;49.96362932;;53.36341257;49.39507127;0
71;53.14915274;47.28276088;50.07786689;51.56053883;47;49.1323499;51.24974289;;51.63609363;53.14532321;0
72;50.8244351;;51.63745848;51.31121082;52;49.48564453;51.3911357;;48.24246592;52.50971053;0
73;47.31700404;;49.07508131;50.3841761;54;50.01871374;50.62920643;;48.04262429;47.57196861;1
74;48.95302631;;49.44714945;51.59406564;51;49.40680351;50.57007933;;48.72022901;49.10757484;1
75;48.66228468;;48.4038886;48.89216535;50;50.72008035;50.59775587;;48.0565499;50.75206357;2
76;51.33495306;;50.36466731;51.0749212;49;49.08317069;51.75257184;;51.55085056;50.58898718;0
77;51.33161917;;48.23816821;51.08780029;51;48.62310447;49.86520958;;48.63766045;50.27237021;1
78;46.89524932;;51.04972284;49.44865682;52;48.79068451;50.97112032;;49.2036002;51.10650523;2
79;48.83194269;;47.96572691;47.16345582;51;46.78641995;49.52374396;;46.81861282;53.8566777;1
80;47.18629969;;48.72832725;51.65758455;51;51.14562664;48.79477735;;48.90822659;52.16227204;2
81;51.93153647;;52.34350361;51.51383955;51;49.89069412;50.06528911;;49.51756657;50.60731499;0
82;50.70870928;;51.2801739;48.508727;49;51.6560369;49.61633223;;51.33134221;48.82368078;1
83;47.79406701;;51.37505137;50.83653755;51;50.28377113;49.5596544;;50.53641333;49.0121249;2
84;48.07449031;;48.65203894;;54;50.70283859;50.50171561;;47.75133395;47.58616924;1
85;50.37687954;;50.54921822;;49;49.43677887;49.33688406;;50.81426249;49.90491184;1
86;47.39294621;;51.08699834;;52;53.07535832;48.74060314;;47.77222603;48.3120051;2
87;47.18679971;;49.46905213;;52;48.98535834;50.11892547;;50.25825072;48.70882121;1
88;51.88226496;;50.59238046;;51;48.37109626;50.53440033;;48.90585704;49.84449996;1
89;50.20936491;;50.36154164;;54;47.98202612;50.0094373;;48.41875074;48.02808422;1
90;51.03739538;;50.64847322;46.64449762;51;46.59879221;49.59747302;;46.74002417;55.43782114;1
91;52.04414342;;50.81951461;49.30075132;51;47.48302748;50.08781665;;46.19251493;53.59253139;1
92;47.76651758;;47.86533316;50.2891598;52;48.39815097;50.38493747;;50.56211401;48.97957993;1
93;46.8052082;;50.94621488;51.41204788;51;47.93552921;52.15413006;;50.11840683;52.8297919;2
94;49.82828222;49.56762417;50.39020265;49.26146655;49;49.03453291;49.41144483;;52.49583387;48.47008523;0
95;52.64608945;50.28216951;50.15883344;50.11160516;49;50.37838718;49.8934763;;50.25213162;52.93031383;0
96;49.01283806;49.65947579;49.4029855;47.85750792;50;51.16444167;49.60093772;;48.01866321;50.58804796;2
97;48.56898786;51.08273503;49.40384067;48.84668073;52;50.89363586;49.83781979;;48.19906091;48.59401594;1
98;50.14183237;50.77542126;50.45064378;47.26908841;50;44.90056222;49.34597639;;47.62674656;55.66069534;1
99;49.57394609;49.74121656;49.95860065;48.98149566;50;44.75104513;49.94761572;;49.53187726;54.3113037;1
100;48.96631499;49.35439935;49.54772909;50.06419367;50;51.66061018;50.69705142;;48.41859545;49.36018995;2
101;47.49389503;50.10304227;50.85712;52.304391;51;49.23158336;48.99807493;;51.31573834;51.13015234;2
102;47.62611642;50.03014795;48.53471201;49.56456375;56;52.44817365;49.53514966;;46.69475525;46.15257128;1
103;48.53601298;48.57255912;49.89643801;50.36307592;50;49.97101941;50.23412849;;49.89350214;51.00861815;2
104;51.10133327;49.86109797;50.74187498;46.38034736;47;49.36539496;49.35597028;;50.35069204;53.3360884;0
105;52.61152504;50.78773041;50.48766127;49.75402063;47;49.88839572;49.31591022;;50.7250924;51.85020982;0
106;51.14578615;49.11978537;49.26297398;48.21359012;49;50.15860345;52.36996964;;48.87304456;52.15875112;0
107;48.86128119;51.5390824;50.72451753;47.68734965;50;48.29801836;50.27623445;;50.86696395;50.58449812;2
108;50.14758895;49.39738181;51.07207263;47.73607582;48;51.1578672;50.51922148;;51.61785623;49.05614851;2
109;47.18752737;49.53085491;51.13584779;48.20255447;51;49.51851705;49.42061199;;50.05980274;51.16754499;2
110;49.91189659;50.37696686;49.24203382;48.50305235;48;47.57473081;52.19708015;;52.6315348;50.09162545;0
111;50.54934419;50.14868522;50.7552398;49.01647226;48;50.25020933;50.51321013;;51.28079791;50.2839897;2
112;50.77653612;50.03345877;48.39964521;49.71291105;50;48.02260877;50.88027432;;49.14902475;51.71256677;1
113;48.99975917;48.49688305;51.08093459;48.91878115;49;51.03085523;52.4594875;;48.83073293;51.83218868;2
114;50.2405502;50.70437356;47.82315709;49.90328207;48;51.07063943;50.10183336;;52.2702095;48.87965153;2
115;46.80137999;49.90629856;48.62499275;52.16288281;55;49.87567498;48.41582139;;49.73243436;46.97988403;1
116;50.85321024;50.61032339;49.80830945;52.05660905;47;51.68594504;50.1613126;;51.33389826;52.28327786;0
117;50.22270545;50.66735011;48.18332872;48.30830894;51;50.12481685;52.08819313;;48.42163213;50.24742513;1
118;51.84785573;51.03516147;50.59399932;49.16837389;51;47.92576311;48.77199875;;47.19894434;52.39967446;1
119;48.49662374;50.44570018;50.09761661;49.38192005;50;51.08368445;50.76951968;;48.16985378;50.99655035;2
120;53.18973705;49.51924505;50.22540416;50.01698086;50;50.26515497;49.50228837;;48.50439271;51.00618678;1
121;51.31903593;49.10652879;50.12918564;50.46008751;52;50.68000058;52.13544145;;47.52237134;48.1919129;0
122;50.14822562;49.80072573;48.93976714;47.25725232;46;47.76848197;49.30520322;;51.45870975;53.26826935;0
123;49.90430102;49.76047192;50.14273245;47.69304252;49;47.41846765;51.57707648;;52.18957799;48.85401537;0
124;51.56116655;49.5535778;47.69441394;50.30948379;48;50.36850278;51.16220235;;50.61532197;51.68544618;0
125;51.16298305;51.2053432;49.07102797;46.22503279;48;48.56700494;51.20344653;;50.56639232;51.43428676;2
126;48.97136541;51.33731743;50.11005795;50.18715532;52;48.42453303;51.47298443;;49.07883606;49.03792774;1
127;53.04198279;48.99463905;50.27875806;49.35408107;50;49.17458976;51.91052307;;50.15266284;50.86734439;0
128;50.56427478;50.33043117;48.74275336;49.56493545;51;47.5991843;50.27320315;;47.52298215;52.8324059;1
129;48.96299517;48.82259567;50.65133449;49.49718584;49;52.60204675;50.27370355;;47.90684595;51.69949312;2
130;53.79591377;50.73408725;49.23816339;45.73474367;47;51.5797265;49.7373454;;51.69394811;49.86382998;0
131;50.55657466;48.68308184;49.21918253;51.85652643;49;47.79741228;50.15097806;;50.21290282;50.61797957;1
132;49.69579865;49.65512829;50.64165304;46.02123263;50;51.34325004;51.7819717;;49.6545534;51.71280604;2
133;50.94763007;49.4972624;50.5259359;50.44410175;49;50.37773794;48.9541969;;49.84328525;51.17393239;0
134;47.97267643;50.18862417;48.55418473;50.18912417;50;46.7870584;52.79191999;;52.69501256;49.32821878;0
135;48.24291819;50.63415716;49.66481358;51.17784629;50;51.84625128;50.8734849;;48.41902801;50.23439027;2
136;47.80303751;49.72678858;49.95081655;48.59135096;51;50.90164114;50.32719959;;47.67343041;51.48962092;2
137;53.08673491;50.03463987;50.6547928;49.73723719;51;49.26791896;51.46645283;;49.42649408;50.20773383;0
138;50.15732852;50.26869189;49.05320665;51.42246401;50;47.01380138;52.59747986;;50.233214;50.10280476;1
139;49.15644528;49.56565227;50.81816231;49.69424228;49;50.63438134;49.97805753;;51.80318906;48.83930866;2
140;51.959746;51.09415228;50.19409249;49.80062378;51;47.21110865;51.57406733;;47.47298443;52.85551876;1
141;47.86253603;50.51540733;49.26211084;51.54542252;51;52.28927836;50.55247906;;47.19203125;49.55699827;2
142;49.40257529;48.46728625;48.71621278;49.53267198;49;51.10721476;49.18663806;;50.26238656;49.0844599;2
143;48.93470592;49.88562813;51.23012594;47.68419741;49;50.45916281;50.69066163;;48.15027974;53.46783765;2
144;53.26029907;48.15187274;51.33880508;48.60886585;48;50.37790778;47.01819318;;49.03099291;52.39379811;0
145;51.91411227;47.94811641;50.00725377;49.92767118;49;51.37191438;49.49417745;;51.05490123;48.57552379;1
146;51.49331124;49.33937968;50.89251473;49.43900904;48;50.32305134;51.59971688;;52.09853712;49.4638436;1
147;47.30914664;49.38661428;50.94853539;50.71512975;52;51.1930151;49.14827359;;47.67276452;49.60674399;2
148;53.12124517;49.71534477;48.58651731;48.1722286;47;50.86286541;50.08943552;;49.76732974;53.07218393;0
149;49.16876461;50.95162734;50.91118442;49.52079712;52;52.85889756;48.87185323;;47.59411932;51.12610916;0
150;52.34372298;49.68577677;50.42278775;48.91896809;52;49.7269521;50.69512237;;49.25178056;50.15671898;0
151;49.66314463;50.49263563;50.39242842;51.18712947;54;50.04586623;48.5657014;;46.68859675;47.66076378;1
152;50.54915353;49.3236583;52.52576601;;48;51.78697925;50.23064157;;51.58754214;49.76352614;2
153;48.88782879;48.74734037;50.95642886;;50;47.74265286;49.64510317;;50.82036205;52.01587504;2
154;48.07212811;51.44789846;49.4191334;;49;53.89340454;50.09063984;;50.04442482;51.91424634;0
155;48.63355568;49.79972851;50.73157105;;50;49.18724674;50.81664873;;49.50854434;50.9445466;2
156;52.09796617;50.56295657;51.32690046;;50;51.0430665;50.9112638;;50.85907148;51.48643451;0
157;53.45748517;50.81742096;49.8636335;;48;50.49649497;48.64136596;;46.98070417;55.30937475;0
158;53.02012868;51.37808044;50.46107117;;50;49.02432553;51.67200044;;50.38042097;51.24524108;0
159;54.86909549;48.35154924;50.39821621;50.22275791;50;48.91204119;50.03367039;;49.97536335;50.94653619;1
160;49.43709383;48.8464409;50.63711781;48.77811769;47;49.52791353;51.55972764;;50.92078194;52.88746729;2
161;50.63453649;49.20142921;49.52478017;48.48672671;52;50.35083493;51.11863695;;45.67811298;50.53639649;0
162;46.12741218;49.21074319;50.4374031;53.14578452;53;48.37159379;50.92896069;;51.1813031;47.92361176;1
163;47.85609895;49.62121082;50.28106999;50.64171774;51;50.44958636;50.44765105;;49.5301875;50.16671932;2
164;52.1247983;50.11204565;52.19426954;51.64136199;47;51.12048846;48.63568131;;49.75073235;53.96531276;0
165;49.50270623;51.6735024;50.020793;50.3486142;49;47.40027168;48.82558528;;51.62025509;51.56730042;0
166;50.56883669;50.79135258;48.07417802;51.12903478;49;47.4193268;49.38445486;;49.63280003;50.57328549;1
167;49.74369897;48.70786862;51.3178102;49.59066928;49;48.39298221;50.73783282;;51.00645057;51.86608955;2
168;51.75884687;49.45739605;50.73333979;48.01500327;49;50.71948966;50.15069787;;50.70557168;50.15850615;1
169;48.91672949;52.12970151;49.31650223;49.82511401;53;52.71208781;49.35405656;;45.05453841;49.53624653;0
170;50.90656692;50.14974195;50.85510246;50.78892224;50;51.32487071;50.182127;;49.40881305;50.84710536;0
