CLIENT_ID;GENERO;EDAD;NSE;ESTADOCIVIL;DEPARTAMENTO;CAPDEUDA
0;F;999;1;S;LIMA;47.90308751
1;M;26;1;C;LIMA;50.41456316
2;F;35;1;;LIMA;49.51607879
3;M;30;1;V;LIMA;48.30441952
4;F;65;1;;LIMA;49.49311194
5;F;31;1;;LIMA;51.91888734
6;M;61;1;;LIMA;48.49301631
7;M;22;1;;AREQUIPA;50.13537097
8;M;56;1;;AREQUIPA;50.74045026
9;F;64;1;S;CUSCO;51.6667086
10;M;F;1;;CUSCO;50.8471623
11;F;22;1;;PUNO;49.92812775
12;F;25;1;;AYACUCHO;49.60454163
13;M;44;1;;TACNA;48.21236319
14;F;52;1;;MOQUEGUA;49.38481331
15;F;58;1;;LORETO;51.42476953
16;M;26;1;;UCAYALI;49.7199451
17;F;20;1;;ANCASH;51.18876454
18;M;53;1;;LA LIBERTAD;50.00736988
19;M;65;1;;PIURA;50.26374467
20;M;36;1;;AREQUIPA;50.98999779
21;F;24;1;;CUSCO;49.37733478
22;M;31;1;;AYACUCHO;48.02397778
23;M;16;1;;ICA;50.55781044
24;;35;1;;ICA;49.45731912
25;F;58;1;;TACNA;49.09535321
26;F;15;1;;JUNIN;50.76746946
27;M;30;1;;PASCO;48.99052371
28;M;40;1;;JUNIN;49.12241042
29;F;34;1;;PASCO;50.10131815
30;F;45;1;;PASCO;48.74165059
31;M;55;1;;LIMA;47.72129697
32;F;61;1;;LIMA;50.0419565
33;F;65;1;;LIMA;47.87203015
34;M;50;1;;LIMA;49.54397121
35;F;60;1;;LIMA;50.67453253
36;F;57;1;;LIMA;49.45254009
37;M;16;1;;LIMA;50.32487682
38;M;53;1;;AREQUIPA;48.2010904
39;F;52;1;C;AREQUIPA;49.04865132
40;F;18;1;;CUSCO;52.25327743
41;F;56;1;;CUSCO;51.61315383
42;F;63;1;;PUNO;50.1792392
43;M;52;1;;AYACUCHO;49.0525968
44;M;41;1;;TACNA;47.65123249
45;F;58;1;;MOQUEGUA;50.59368323
46;F;58;1;;LORETO;48.81988649
47;M;44;1;;UCAYALI;49.03061685
48;F;50;1;;ANCASH;51.43084466
49;F;46;1;;LA LIBERTAD;48.34865641
50;M;44;1;;PIURA;49.90835956
51;M;52;1;;AREQUIPA;51.84870799
52;M;50;1;;CUSCO;49.32466907
53;F;26;1;;AYACUCHO;50.61176346
54;F;48;1;;ICA;49.15383473
55;F;65;1;;ICA;49.44860899
56;F;65;1;;TACNA;50.7881453
57;M;19;1;;JUNIN;49.36665101
58;F;61;1;;PASCO;49.04518248
59;M;49;1;;JUNIN;49.74633255
60;F;50;1;;PASCO;49.92166905
61;M;51;1;;PASCO;47.70888138
62;F;46;1;;LIMA;49.35036982
63;M;38;1;;LIMA;48.79103642
64;F;56;1;;LIMA;49.51231133
65;M;47;1;;LIMA;51.22132693
66;M;52;1;;LIMA;49.04224331
67;M;63;1;;LIMA;50.79314622
68;F;27;1;;LIMA;50.37570126
69;M;51;1;;AREQUIPA;49.52775155
70;F;61;1;;AREQUIPA;50.03307346
71;M;23;1;;CUSCO;49.38592999
72;M;55;1;;CUSCO;49.38107907
73;F;53;1;;PUNO;49.40522685
74;F;23;1;;AYACUCHO;50.68099163
75;M;15;1;;TACNA;48.34533087
76;F;21;1;;MOQUEGUA;49.0069576
77;F;32;1;;LORETO;48.98322249
78;M;35;1;;UCAYALI;50.30084873
79;F;35;1;;ANCASH;49.52958561
80;M;53;1;;LA LIBERTAD;50.2596091
81;M;45;1;;PIURA;50.26335061
82;F;59;1;;AREQUIPA;49.82216963
83;F;52;1;;CUSCO;50.14416866
84;F;51;1;;AYACUCHO;49.90627538
85;M;26;1;;ICA;48.83537745
86;M;58;1;;ICA;49.97340035
87;F;51;1;;TACNA;50.115765
88;M;39;1;;JUNIN;49.20209739
89;F;40;1;;PASCO;47.93820824
90;M;26;1;;JUNIN;51.0858207
91;M;23;1;;PASCO;51.02222006
92;F;46;1;;PASCO;49.76445868
93;F;61;1;C;LIMA;49.95321666
94;F;25;1;;LIMA;49.49785293
95;M;29;1;;LIMA;51.11724597
96;M;50;1;;LIMA;51.84501593
97;M;55;1;;LIMA;51.82056927
98;;62;1;;LIMA;49.66289853
99;F;57;1;;LIMA;49.19280921
100;M;30;1;;AREQUIPA;46.77251188
101;F;17;1;;AREQUIPA;50.73965662
102;F;49;1;;CUSCO;49.51213617
103;M;38;1;;CUSCO;49.81961795
104;F;39;1;;PUNO;49.9363404
105;M;27;1;;AYACUCHO;49.90160263
106;F;40;1;;TACNA;49.87351077
107;M;39;1;;MOQUEGUA;49.09575749
108;M;65;1;;LORETO;50.89153451
109;F;45;1;;UCAYALI;51.3445865
110;;58;1;;ANCASH;51.73804951
111;F;19;1;;LA LIBERTAD;50.3815763
112;M;53;1;;PIURA;50.56999519
113;M;63;1;;AREQUIPA;48.9279392
114;M;16;1;;CUSCO;50.68801325
115;F;38;1;;AYACUCHO;50.2278208
116;M;61;1;;ICA;49.32544257
117;F;41;1;;ICA;50.22883559
118;M;41;1;;TACNA;49.35131068
119;F;57;1;;JUNIN;50.63927437
120;M;33;1;;PASCO;50.8104438
121;M;54;1;;JUNIN;49.29264318
122;M;42;1;;PASCO;50.47126396
123;F;27;1;;PASCO;48.99659416
124;M;46;1;;LIMA;49.63029961
125;F;47;1;;LIMA;49.2599616
126;F;31;1;;LIMA;50.91467402
127;M;64;1;;LIMA;49.19903779
128;F;32;1;;LIMA;48.83178491
129;F;65;1;;LIMA;49.74826306
130;F;64;1;;LIMA;48.42756409
131;M;48;1;;AREQUIPA;50.28278153
132;F;15;1;;AREQUIPA;50.77452667
133;F;42;1;;CUSCO;50.89035823
134;F;41;1;;CUSCO;48.84496237
135;M;58;1;;PUNO;47.68903958
136;M;43;1;;AYACUCHO;50.65017595
137;F;65;1;;TACNA;51.21245054
138;F;41;1;;MOQUEGUA;51.14561158
139;F;16;1;;LORETO;48.95296328
140;M;50;1;;UCAYALI;50.99809432
141;F;36;1;;ANCASH;50.17799648
142;M;24;1;;LA LIBERTAD;48.46384829
143;M;57;1;;PIURA;50.75976487
144;F;42;1;;AREQUIPA;52.16798118
145;M;34;1;;CUSCO;50.20609342
146;F;33;1;;AYACUCHO;49.65435785
147;M;19;1;;ICA;51.44665338
148;M;20;1;;ICA;49.27685858
149;M;44;1;;TACNA;51.45115022
150;F;25;1;;JUNIN;50.08953416
